order_id,order_ts,customer_id,order_status,order_amount,currency,source_system,updated_at
ORD-1108,2023-05-11 07:05:00,C004,CANCELLED,-499,INR,WEB,2023-05-11 07:05:00
ORD-1109,2023-07-23 20:35:00,C001,DELIVERED,349,INR,APP,2023-07-23 20:35:00
ORD-1110,2023-09-04 12:50:00,C002,SHIPPED,1199,INR,WEB,2023-09-04 12:50:00
ORD-1111,2023-11-07 05:20:00,C003,DELIVERED,549,INR,APP,2023-11-07 05:20:00
ORD-1112,2024-01-18 18:10:00,C004,PROCESSING,799,INR,WEB,2024-01-18 18:10:00
ORD-1113,2024-03-01 09:45:00,C005,CANCELLED,-999,INR,APP,2024-03-01 09:45:00
ORD-1114,2024-06-12 21:30:00,C001,DELIVERED,1899,INR,WEB,2024-06-12 21:30:00
ORD-1115,2024-08-03 08:05:00,C002,SHIPPED,399,INR,APP,2024-08-03 08:05:00
ORD-1116,2024-10-21 17:55:00,C003,DELIVERED,699,INR,WEB,2024-10-21 17:55:00
ORD-1117,2025-01-09 13:40:00,C004,PROCESSING,1599,INR,APP,2025-01-09 13:40:00
ORD-1118,2025-04-01 06:15:00,C005,DELIVERED,1099,INR,WEB,2025-04-01 06:15:00
ORD-1119,2021-12-21 21:30:32,C005,PROCESSING,1189,INR,APP,2021-12-21 21:30:32
ORD-1120,2020-06-05 06:02:29,C002,PROCESSING,1280,INR,WEB,2020-06-05 06:02:29
ORD-1121,2021-11-06 08:15:24,C001,DELIVERED,2877,INR,WEB,2021-11-06 08:15:24
ORD-1122,2019-04-26 12:52:29,C004,CANCELLED,-1979,INR,APP,2019-04-26 12:52:29
ORD-1123,2026-02-15 13:49:35,C002,SHIPPED,254,INR,APP,2026-02-15 13:49:35
ORD-1124,2025-02-23 04:42:24,C004,PROCESSING,1989,INR,APP,2025-02-23 04:42:24
ORD-1125,2023-05-30 02:40:12,C003,DELIVERED,937,INR,WEB,2023-05-30 02:40:12
ORD-1126,2026-04-21 06:22:26,C004,SHIPPED,186,INR,APP,2026-04-21 06:22:26
ORD-1127,2026-05-22 05:48:56,C002,CANCELLED,-2090,INR,APP,2026-05-22 05:48:56
ORD-1128,2020-05-12 14:10:39,C005,PROCESSING,2430,INR,APP,2020-05-12 14:10:39
ORD-1129,2024-01-16 02:44:52,C001,DELIVERED,381,INR,WEB,2024-01-16 02:44:52
ORD-1130,2024-04-04 02:24:00,C003,SHIPPED,2692,INR,WEB,2024-04-04 02:24:00
ORD-1131,2024-10-02 21:29:00,C002,DELIVERED,628,INR,WEB,2024-10-02 21:29:00
ORD-1132,2025-11-02 14:50:50,C004,PROCESSING,2153,INR,APP,2025-11-02 14:50:50
ORD-1133,2023-06-09 21:51:57,C002,SHIPPED,302,INR,WEB,2023-06-09 21:51:57
ORD-1134,2021-01-29 04:14:23,C002,PROCESSING,2439,INR,WEB,2021-01-29 04:14:23
ORD-1135,2024-01-29 12:37:36,C004,PROCESSING,2873,INR,APP,2024-01-29 12:37:36
ORD-1136,2023-07-13 02:55:55,C005,PROCESSING,1715,INR,WEB,2023-07-13 02:55:55
ORD-1137,2026-02-08 14:03:25,C004,PROCESSING,1744,INR,APP,2026-02-08 14:03:25
ORD-1138,2019-01-25 20:15:17,C002,CANCELLED,-2171,INR,APP,2019-01-25 20:15:17
ORD-1139,2021-03-03 02:29:54,C003,PROCESSING,707,INR,WEB,2021-03-03 02:29:54
ORD-1140,2020-07-31 10:43:49,C005,DELIVERED,2037,INR,APP,2020-07-31 10:43:49
ORD-1141,2023-02-11 23:17:45,C057,CANCELLED,-2359,INR,WEB,2023-02-11 23:17:45
ORD-1142,2025-11-09 04:42:12,C057,DELIVERED,1747,INR,WEB,2025-11-09 04:42:12
ORD-1143,2021-04-21 13:27:01,C005,DELIVERED,1875,INR,WEB,2021-04-21 13:27:01
ORD-1144,2024-08-31 15:07:35,C002,CANCELLED,-2416,INR,WEB,2024-08-31 15:07:35
ORD-1145,2019-08-10 12:45:46,C002,CANCELLED,-834,INR,APP,2019-08-10 12:45:46
ORD-1146,2024-06-08 08:42:44,C059,CANCELLED,-2112,INR,WEB,2024-06-08 08:42:44
ORD-1147,2019-04-28 18:33:03,C005,CANCELLED,-1673,INR,WEB,2019-04-28 18:33:03
ORD-1148,2026-10-06 01:51:57,C002,SHIPPED,2841,INR,APP,2026-10-06 01:51:57
ORD-1149,2022-03-03 06:54:13,C001,CANCELLED,-1998,INR,APP,2022-03-03 06:54:13
ORD-1150,2020-11-21 19:53:56,C005,CANCELLED,-1573,INR,WEB,2020-11-21 19:53:56
ORD-1151,2022-12-09 16:30:10,C004,CANCELLED,-1114,INR,WEB,2022-12-09 16:30:10
ORD-1152,2024-01-05 20:19:02,C005,SHIPPED,1528,INR,WEB,2024-01-05 20:19:02
ORD-1153,2022-08-01 18:47:23,C001,SHIPPED,1413,INR,APP,2022-08-01 18:47:23
ORD-1154,2024-12-18 11:17:21,C001,PROCESSING,2343,INR,WEB,2024-12-18 11:17:21
ORD-1155,2020-05-11 03:39:04,C001,SHIPPED,694,INR,APP,2020-05-11 03:39:04
ORD-1156,2025-12-06 04:15:56,C003,PROCESSING,1689,INR,WEB,2025-12-06 04:15:56
ORD-1157,2026-10-14 08:35:31,C003,CANCELLED,-1099,INR,WEB,2026-10-14 08:35:31
ORD-1158,2019-03-20 12:19:13,C005,DELIVERED,2749,INR,WEB,2019-03-20 12:19:13
ORD-1159,2022-02-11 00:48:49,C004,DELIVERED,1998,INR,APP,2022-02-11 00:48:49
ORD-1160,2019-03-29 15:32:46,C001,CANCELLED,-2766,INR,APP,2019-03-29 15:32:46
ORD-1161,2022-10-15 18:47:10,C032,SHIPPED,1132,INR,APP,2022-10-15 18:47:10
ORD-1162,2019-01-06 09:24:41,C032,SHIPPED,247,INR,WEB,2019-01-06 09:24:41
ORD-1163,2025-10-23 18:29:53,C003,DELIVERED,2285,INR,WEB,2025-10-23 18:29:53
ORD-1164,2024-09-24 02:24:54,C005,DELIVERED,1675,INR,APP,2024-09-24 02:24:54
ORD-1165,2024-05-07 19:27:40,C001,CANCELLED,-2630,INR,APP,2024-05-07 19:27:40
ORD-1166,2022-08-14 11:01:04,C002,SHIPPED,229,INR,WEB,2022-08-14 11:01:04
ORD-1167,2026-10-12 22:05:18,C003,PROCESSING,731,INR,APP,2026-10-12 22:05:18
ORD-1168,2019-07-22 19:11:16,C004,PROCESSING,2307,INR,WEB,2019-07-22 19:11:16
ORD-1169,2021-02-11 03:47:13,C003,CANCELLED,-1178,INR,WEB,2021-02-11 03:47:13
ORD-1170,2020-12-28 00:13:09,C001,CANCELLED,-1239,INR,APP,2020-12-28 00:13:09
ORD-1171,2020-12-05 08:39:44,C003,CANCELLED,-2151,INR,WEB,2020-12-05 08:39:44
ORD-1172,2025-09-28 12:07:47,C040,PROCESSING,824,INR,APP,2025-09-28 12:07:47
ORD-1173,2024-08-18 19:44:10,C003,CANCELLED,-1822,INR,APP,2024-08-18 19:44:10
ORD-1174,2026-04-11 10:10:57,C004,DELIVERED,2277,INR,APP,2026-04-11 10:10:57
ORD-1175,2026-01-26 23:10:11,C004,DELIVERED,2805,INR,APP,2026-01-26 23:10:11
ORD-1176,2019-07-14 02:26:26,C005,CANCELLED,-2438,INR,APP,2019-07-14 02:26:26
ORD-1177,2021-12-20 02:15:08,C004,CANCELLED,-1570,INR,APP,2021-12-20 02:15:08
ORD-1178,2024-10-20 17:28:27,C040,SHIPPED,502,INR,APP,2024-10-20 17:28:27
ORD-1179,2024-10-20 17:28:27,C040,SHIPPED,502,INR,APP,2024-10-23 17:28:27
ORD-1180,2024-10-20 17:28:27,C040,SHIPPED,502,INR,APP,2024-10-28 17:28:27
